Area
58
6
13
8
139
24
58
9
20
1443
359
14
1
210
36
3
270
3
388
149
216
44
43
31
66
127
19
44
71
79
51
2
29
2357
2
7
13
149
9
44
102
579
15
12
97
86
17
10
368
1
15
17
45
6
206
29
497
3
376
12
4
12
23
106
20
69
2
170
1
4
1
11
27
72
8
50
24
6
28
88
160
266
1
23
35
676
104
107
19
38
3
1
166
12
35
7
27
2
49
20
24
3
118
5
62
4
24
45
10
1
113
11
20
126
122
5
122
61
84
316
59
27
3
13
3
1
29
121
61
1
64
811
30
3
7
40
521
19
1445
9
1
1
4
133
70
7
1
418
4
54
18
6
321
20
50
384
36
9
33
11
132
13
216
49
564
11
296
27
24
645
314
78
1
20
11
150
28
1
23
33
84
492
91
46
22
87
53
6
29
18
6
120
90
86
53
16
86
7
78
91
18
21
7
2
85
63
37
17
134
4
14
4
38
12
10
20
127
1
10
8
2
10
15
3
242
51
9
134
147
6
36
5
2410
2
2
89
4
9
78
292
64
6
7
6
23
60
1247
7
8
2
38
629
254
45
400
3
282
9
119
2
12
52
112
136
4
77
36
46
233
4
39
1781
7
41
77
12
185
9
21
3
19
1
95
49
3
4
17
19
386
1
123
8
166
2
90
149
1132
209
1085
21
25
69
30
6
30
12
45
94
8
91
66
48
2
1
9
1
137
6
51
97
1
177
6
22
38
46
77
140
106
53
18
28
406
109
7
71
28
1
3
1
1
17
56
11
546
34
19
67
73
1
32
41
136
89
49
4
6
31
1
40
34
247
13
6
23
837
5
11
5
785
1
156
76
1
57
32
106
114
250
707
64
1
22
52
84
10
3
6
5
1
25
3
13
61
12
12
20
10
14
20
11
47
40
128
386
13
2
50
97
381
233
31
7
15
36
165
161
205
109
10
22
115
27
27
5
6
116
775
6
11
42
11
31
20
71
42
38
7
3
38
28
18
88
37
135
1
690
178
19
78
137
101
7
110
1
558
39
1
28
313
354
16
350
96
107
27
35
20
12
13
15
290
475
9
16
753
58
153
3
22
11
140
40
7
89
2
13
18
8
7
7
1505
2
10
96
3
56
1
23
6
11
5
1
1
127
3
15
2
23
113
2
1
2
1
33
56
38
1
85
30
29
1
11
20
2
654
260
6
5
698
297
18
2
15
712
64
1057
115
71
25
25
5
3
27
14
10
1118
33
2
2
1
350
7
9
8
2
2
10
1
10
22
324
5
1
182
16
6
76
139
19
96
121
8
38
7
49
25
34
191
79
79
2
2
165
565
35
2058
1
16
2
50
47
109
4
43
77
4
12
193
65
25
3
1
1
172
30
258
5
33
389
2
13
80
4
42
339
4
24
7
2
27
5
171
19
37
151
11
1
20
67
10
1
33
14
22
14
10
3
187
6
30
1
10
17
23
197
30
15
213
912
349
8
129
1
5
3
12
12
12
13
47
82
9
34
44
2611
14
222
14
1
160
151
355
5
112
64
50
204
23
30
150
6
240
170
1
7
8
8
130
4
619
7
1
1
1
8
338
257
22
5
66
48
68
48
2
6
3
3
16
109
2
54
1
16
797
43
29
65
13
1
5
8
59
11
156
118
263
16
7
13
70
93
510
19
33
21
1034
20
2
11
1
31
14
247
218
56
207
502
28
39
1
12
8
87
6
1
23
455
193
14
4
9
61
31
19
13
9
24
43
80
158
23
24
121
97
48
1
64
9
10
35
21
4
6
26
217
4
56
26
5
146
8
44
164
71
6
7
12
14
21
16
4
26
8
9
138
389
11
25
128
4
84
72
48
376
129
23
71
121
4
40
1
16
74
31
12
122
4
96
17
333
2
13
78
436
74
1
300
24
73
7
1
54
370
69
14
1
128
2
4
2
385
52
1
700
49
243
18
36
43
37
25
5
60
545
4
22
11
24
21
3
46
541
46
228
229
71
127
20
24
10
7
17
16
131
1756
7
215
27
9
35
201
71
35
